,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,45,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,37.8,37.8,33.75,33.75,33.75,28.8,28.8,28.8,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
1,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,35.1,35.1,35.1,35.1,35.1,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002,20.700000000000003,10.800000000000002,10.800000000000002,10.800000000000002,10.800000000000002,10.800000000000002
2,70,63.28,58.24,58.24,58.24,53.2,53.2,53.2,48.580000000000005,48.580000000000005,46.480000000000004,39.34,29.680000000000003,29.680000000000003,29.680000000000003,29.680000000000003,29.680000000000003,25.060000000000002,25.060000000000002,25.060000000000002,25.060000000000002,25.060000000000002,25.060000000000002,25.060000000000002,20.44,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001
3,60,60.0,56.4,52.8,52.8,50.82,48.84,42.42,42.42,37.620000000000005,37.620000000000005,37.620000000000005,30.840000000000003,30.840000000000003,30.840000000000003,30.840000000000003,30.840000000000003,30.840000000000003,30.840000000000003,30.840000000000003,24.060000000000002,24.060000000000002,24.060000000000002,24.060000000000002,24.060000000000002,24.060000000000002,24.060000000000002,24.060000000000002,14.880000000000003,10.500000000000004
4,70,63.28,63.28,63.28,58.24,58.24,58.24,58.24,51.1,47.32,47.32,47.32,47.32,38.08,38.08,38.08,33.04,33.04,33.04,33.04,33.04,33.04,33.04,33.04,33.04,33.04,28.0,28.0,18.759999999999998,9.519999999999998
5,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,42.75,40.5,38.25,38.25,38.25,38.25,38.25,36.0,28.8,28.8,28.8,28.8,28.8,18.9,18.9,18.9,18.9,13.95,13.95,13.95,13.95
6,60,60.0,60.0,60.0,58.02,56.040000000000006,54.06000000000001,47.28000000000001,40.50000000000001,40.50000000000001,40.50000000000001,33.720000000000006,33.720000000000006,33.720000000000006,33.720000000000006,33.720000000000006,33.720000000000006,33.720000000000006,24.540000000000006,24.540000000000006,24.540000000000006,24.540000000000006,24.540000000000006,20.160000000000007,20.160000000000007,20.160000000000007,20.160000000000007,15.780000000000008,9.360000000000008,9.360000000000008
7,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,53.58,49.98,49.98,45.599999999999994,43.62,43.62,40.019999999999996,40.019999999999996,40.019999999999996,31.199999999999996,24.779999999999994,24.779999999999994,24.779999999999994,24.779999999999994,24.779999999999994,24.779999999999994,24.779999999999994,24.779999999999994,22.799999999999994,17.999999999999993,17.999999999999993,17.999999999999993
8,60,60.0,60.0,53.22,53.22,51.24,49.260000000000005,42.480000000000004,42.480000000000004,42.480000000000004,35.7,35.7,35.7,35.7,33.720000000000006,33.720000000000006,33.720000000000006,33.720000000000006,33.720000000000006,29.340000000000007,29.340000000000007,20.520000000000007,20.520000000000007,20.520000000000007,11.700000000000006,11.700000000000006,11.700000000000006,11.700000000000006,11.700000000000006,11.700000000000006
9,70,64.96,59.919999999999995,59.919999999999995,59.919999999999995,50.25999999999999,50.25999999999999,41.01999999999999,41.01999999999999,41.01999999999999,41.01999999999999,41.01999999999999,41.01999999999999,41.01999999999999,35.97999999999999,26.31999999999999,26.31999999999999,26.31999999999999,26.31999999999999,17.07999999999999,17.07999999999999,17.07999999999999,17.07999999999999,17.07999999999999,17.07999999999999,10.359999999999992,10.359999999999992,10.359999999999992,10.359999999999992,3.2199999999999926
