,0,1,2,3,4
0,3,3,0,2,2
1,1,3,2,2,2
2,2,4,4,0,0
3,0,3,3,2,2
4,3,4,0,3,0
5,2,0,3,4,1
6,1,3,0,4,2
7,2,1,2,1,4
8,3,2,0,3,2
9,2,3,3,2,0
10,1,2,3,4,0
11,2,1,2,1,4
12,3,2,3,0,2
13,2,1,4,3,0
14,1,0,2,4,3
15,4,3,1,0,2
16,1,0,4,1,4
17,4,1,2,2,1
18,2,1,4,2,1
19,1,1,2,2,4
20,4,2,0,2,2
21,1,1,2,4,2
22,4,0,1,3,2
23,0,2,4,0,4
24,2,2,2,3,1
25,3,1,0,4,2
26,3,1,1,1,4
27,3,1,2,4,0
28,2,4,1,3,0
29,2,2,0,2,4
30,4,1,4,1,0
31,2,0,4,0,4
32,0,2,3,4,1
33,1,4,2,1,2
34,2,3,0,3,2
35,1,1,3,4,1
36,1,2,1,3,3
37,0,2,4,0,4
38,2,4,1,0,3
39,3,2,0,3,2
40,3,3,2,2,0
41,4,1,3,2,0
42,4,0,1,1,4
43,1,4,1,2,2
44,3,3,2,1,1
45,4,1,4,0,1
46,3,3,1,2,1
47,4,0,2,1,3
48,0,0,4,4,2
49,0,3,4,1,2
50,3,1,2,3,1
51,1,1,0,4,4
52,2,4,3,1,0
53,2,2,1,4,1
54,3,2,4,0,1
55,3,0,4,0,3
56,4,2,0,2,2
57,1,2,3,2,2
58,3,1,4,0,2
59,3,1,1,4,1
60,4,2,0,4,0
61,2,1,2,3,2
62,1,2,2,1,4
63,0,4,2,2,2
64,2,1,1,2,4
65,0,3,4,2,1
66,4,0,2,0,4
67,3,1,0,2,4
68,2,1,3,1,3
69,1,3,4,1,1
70,0,3,2,4,1
71,4,1,0,4,1
72,1,0,4,2,3
73,0,4,3,0,3
74,1,2,4,2,1
75,3,2,1,1,3
76,2,4,0,4,0
77,1,3,3,1,2
78,2,3,0,4,1
79,2,1,3,1,3
80,1,4,3,2,0
81,0,0,4,2,4
82,2,2,4,1,1
83,2,1,3,0,4
84,3,4,2,1,0
85,3,3,0,4,0
86,1,3,2,3,1
87,3,3,3,0,1
88,2,3,3,2,0
89,0,4,2,1,3
90,3,3,0,1,3
91,1,3,1,2,3
92,0,4,0,2,4
93,3,0,4,1,2
94,0,4,1,1,4
95,4,1,2,3,0
96,1,0,4,1,4
97,0,1,3,2,4
98,1,2,2,1,4
99,3,2,2,2,1
100,2,4,2,2,0
