,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1.1,1.1,1.1,1.1,1.1,1.6,3.2,3.2,4.4,4.4,4.4,6.7,6.7,6.7,6.7,6.7,8.9,10.5,10.5
1,0.0,0.0,0.9,0.9,1.4,1.9,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.7,4.7,4.7,4.7,7.0,7.0
2,1.6,2.8,2.8,2.8,4.0,4.0,4.0,4.0,4.0,4.5,5.0,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
3,1.6,1.6,1.6,2.8,2.8,2.8,2.8,4.5,5.0,5.0,5.0,5.5,5.5,6.4,6.4,6.4,7.5,7.5,7.5
4,0.0,0.9,0.9,0.9,0.9,0.9,3.1999999999999997,4.8999999999999995,4.8999999999999995,4.8999999999999995,6.6,6.6,6.6,6.6,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999,8.899999999999999
5,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,3.1999999999999997,4.8999999999999995,4.8999999999999995,4.8999999999999995,4.8999999999999995,4.8999999999999995,6.5,6.5,6.5
6,0.0,0.0,0.0,0.5,0.5,0.5,2.2,2.2,2.2,3.9000000000000004,3.9000000000000004,3.9000000000000004,3.9000000000000004,4.800000000000001,4.800000000000001,4.800000000000001,5.9,5.9,5.9
7,0.0,1.2,1.2,1.2,2.4,2.4,2.4,3.5,3.5,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0
8,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.8,3.6999999999999997,3.6999999999999997,3.6999999999999997,3.6999999999999997,5.9,5.9,5.9,5.9,5.9,7.5,7.5
9,0.0,0.0,1.7,1.7,2.2,2.7,2.7,2.7,3.6,3.6,3.6,3.6,5.800000000000001,5.800000000000001,5.800000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001
