,0,1,2,3,4
0,2,1,2,3,2
1,3,2,2,2,1
2,3,2,1,2,2
3,3,0,1,3,3
4,2,2,1,2,3
5,2,0,2,3,3
6,2,2,1,3,2
7,2,3,0,2,3
8,1,1,2,3,3
9,3,2,1,2,2
10,2,1,2,2,3
11,1,2,2,2,3
12,2,0,3,3,2
13,1,3,2,2,2
14,2,2,2,2,2
15,2,3,3,1,1
16,2,3,2,0,3
17,2,3,2,3,0
18,2,0,3,3,2
19,3,1,3,0,3
20,3,1,3,2,1
21,0,3,3,1,3
22,3,3,0,1,3
23,2,2,1,2,3
24,2,2,3,3,0
25,2,3,0,2,3
26,2,3,1,1,3
27,1,2,3,1,3
28,1,3,2,3,1
29,0,3,2,2,3
30,1,0,3,3,3
31,1,3,0,3,3
32,0,3,3,1,3
33,1,3,3,2,1
34,2,2,1,3,2
35,3,0,2,2,3
36,3,2,3,1,1
37,3,2,3,1,1
38,1,1,3,3,2
39,3,2,2,0,3
40,3,3,2,0,2
41,3,3,1,2,1
42,2,3,2,0,3
43,2,2,1,2,3
44,3,3,3,1,0
45,0,3,2,3,2
46,1,2,2,3,2
47,3,1,0,3,3
48,2,2,1,2,3
49,2,1,2,3,2
50,3,3,0,1,3
51,1,2,3,3,1
52,0,3,2,2,3
53,0,3,3,2,2
54,1,3,1,2,3
55,2,3,0,3,2
56,3,2,2,0,3
57,1,3,2,3,1
58,3,0,1,3,3
59,0,2,3,3,2
60,3,2,0,2,3
61,1,3,2,1,3
62,2,3,3,1,1
63,3,2,2,1,2
64,3,0,2,2,3
65,0,3,2,2,3
66,2,3,2,1,2
67,2,2,1,3,2
68,1,1,3,3,2
69,1,3,2,3,1
70,3,2,2,0,3
71,1,2,2,2,3
72,0,3,2,2,3
73,2,2,3,2,1
74,3,2,3,2,0
75,2,3,2,2,1
76,0,3,2,3,2
77,2,2,1,3,2
78,3,2,2,2,1
79,2,0,2,3,3
80,3,2,0,2,3
81,3,1,3,3,0
82,3,3,2,0,2
83,2,2,1,2,3
84,1,2,3,3,1
85,2,2,2,1,3
86,3,2,2,0,3
87,3,3,2,0,2
88,2,3,1,1,3
89,1,3,3,1,2
90,3,1,3,0,3
91,3,2,0,2,3
92,2,1,2,2,3
93,1,3,3,2,1
94,3,3,1,1,2
95,3,2,0,2,3
96,1,3,3,2,1
97,2,3,3,1,1
98,3,3,2,1,1
99,3,2,3,1,1
100,3,1,2,2,2
