,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100.0,100.0,100.0,100.0,200.0,200.0,300.0,300.0,400.0,500.0,500.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
2,200.0,200.0,200.0,300.0,300.0,300.0,400.0,400.0,500.0,600.0,600.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
3,100.0,100.0,100.0,100.0,200.0,300.0,400.0,500.0,600.0,700.0,700.0,800.0,900.0,900.0,900.0,1000.0,1100.0,1100.0
4,200.0,200.0,200.0,300.0,300.0,300.0,300.0,400.0,500.0,600.0,600.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
5,200.0,200.0,200.0,300.0,300.0,300.0,300.0,400.0,500.0,500.0,600.0,700.0,700.0,700.0,800.0,900.0,900.0,900.0
6,100.0,100.0,100.0,200.0,200.0,300.0,400.0,400.0,400.0,400.0,500.0,600.0,700.0,800.0,800.0,800.0,900.0,900.0
7,100.0,200.0,300.0,300.0,300.0,400.0,500.0,600.0,700.0,700.0,800.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
8,100.0,200.0,300.0,300.0,300.0,400.0,500.0,600.0,700.0,700.0,800.0,1000.0,1000.0,1000.0,1000.0,1100.0,1200.0,1200.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
