,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14.4,14.4,14.4,14.4,28.8,28.8,43.2,43.2,57.6,72.0,72.0,86.4,86.4,86.4,86.4,86.4,86.4,86.4
2,28.8,28.8,28.8,43.2,43.2,43.2,57.6,57.6,72.0,86.4,86.4,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001
3,12.0,12.0,12.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,84.0,96.0,108.0,108.0,108.0,120.0,132.0,132.0
4,28.8,28.8,28.8,43.2,43.2,43.2,43.2,57.6,72.0,86.4,86.4,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001
5,24.0,24.0,24.0,36.0,36.0,36.0,36.0,48.0,60.0,60.0,72.0,84.0,84.0,84.0,96.0,108.0,108.0,108.0
6,18.0,18.0,18.0,36.0,36.0,54.0,72.0,72.0,72.0,72.0,90.0,108.0,126.0,144.0,144.0,144.0,162.0,162.0
7,18.0,36.0,54.0,54.0,54.0,72.0,90.0,108.0,126.0,126.0,144.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0
8,14.4,28.8,43.2,43.2,43.2,57.6,72.0,86.4,100.80000000000001,100.80000000000001,115.20000000000002,144.00000000000003,144.00000000000003,144.00000000000003,144.00000000000003,158.40000000000003,172.80000000000004,172.80000000000004
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
